Período: 20261;Emitido em: 11/02/2026 23:50 h; Data da última atualização: 11/02/2026 19:50h;
Critérios da busca: 
Não foi especificado nenhum critério de busca
Disciplina;Nome da disciplina;Professor;Créd;Turma;Destino;Vag;Turno;Horário/Sala;Horas a Distância;SHF;Horas de extensão;Pré-Req;Depto;
ACN1005; PROJETO FINAL ;SARA FAGUNDES SOARES DE OLIVEIRA;4;1DA;QQC;3;I;SEX 13-15   ;2;0;0; SIM ;LET;
ACN1020; TOP ESP EM ARTES CENICAS ;SARA FAGUNDES SOARES DE OLIVEIRA;4;1DA;QQC;6;I;SEX 09-13   ;0;0;0;NÃO;LET;
ACN1023; LEITOR,ESPECTADOR/OBRA DE ARTE ;SARA FAGUNDES SOARES DE OLIVEIRA;4;1DA;QQC;0;I;TER 11-13   QUI 11-13   ;0;0;0;NÃO;LET;
ACN1029; TOP ESP EM ARTES CENICAS ;FERNANDA COUTINHO BOND;4;1DA;QQC;1;I;SEG 13-15   QUA 13-15   ;0;0;0;NÃO;LET;
ACN1034; TOP ESP EM ARTES CENICAS ;ANA MARIA BARCELLOS KFOURI;4;1DA;QQC;7;I;TER 09-13   ;0;0;0;NÃO;LET;
ACN1100; PROJETO - TEXTO ;PEDRO MOURTHE KOSOVSKI;8;1DA;QQC;9;I;SEG 15-19   QUA 15-19   ;0;0;10;NÃO;LET;
ACN1102; PROJETO - SOM ;DANIEL FERNANDES CASTANHEIRA;8;1DA;QQC;0;I;TER 13-17   QUI 13-17   ;0;0;10;NÃO;LET;
ACN1104; PROJETO - CENA ;FERNANDA COUTINHO BOND;8;1DA;QQC;6;I;SEG 09-13   QUA 09-13   ;0;0;10;NÃO;LET;
ADM1000; COMO FUNCIONA UM NEGOCIO ;FERNANDO CARLOS RODRIGUES CORTEZI;4;22A;QQC;21;I;TER 13-15   QUI 13-15   ;0;0;0;NÃO;MED;
ADM1000; COMO FUNCIONA UM NEGOCIO ;MARIA ISABEL PEIXOTO GUIMARAES;4;2GC;QQC;7;I;SEG 17-19   QUA 17-19   ;0;0;0;NÃO;ADM;
ADM1001; INTEGRADORA PA I ;FERNANDO CARLOS RODRIGUES CORTEZI;4;2GA;QQC;4;I;TER 07-09   QUI 07-09   ;0;1;0; SIM ;ADM;
ADM1001; INTEGRADORA PA I ;MILA DESOUZART DE AQUINO VIANA;4;2GB;QQC;6;I;TER 11-13   QUI 11-13   ;0;1;0; SIM ;ADM;
ADM1001; INTEGRADORA PA I ;JOAO RENATO DE SOUZA COELHO BENAZZI;4;2GC;QQC;0;I;TER 19-21   QUI 19-21   ;0;1;0; SIM ;ADM;
ADM1013; MENTORIA EM FINANCAS ;HORISTA A CONTRATAR;1;2GA;QQC;11;I;GAVEA;0;1;0; SIM ;ADM;
ADM1013; MENTORIA EM FINANCAS ;HORISTA A CONTRATAR;1;2GB;QQC;5;I;GAVEA;0;1;0; SIM ;ADM;
